Date,BID,ACB,MBB,HPG,HDB,FPT,SSI,BCM,BVH,STB,CTG,GAS,GVR,MSN,MWG,PLX,POW,SAB,SHB,SSB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
6/3/2024,"53,800.00","27,700.00","24,650.00","30,600.00","23,350.00","109,000.00","36,850.00","66,200","43,300.00","31,600.00","36,000.00","80,300.00","76,100","76,100","48,700","36,300.00","11,850.00","61,100","11,800.00","22,800.00","42,650.00","19,250.00","96,000","43,500","21,900","45,600","104,200","72,200.00","19,600.00","26,050.00"
5/3/2024,"54,400.00","27,950.00","24,600.00","31,150.00","23,500.00","110,700.00","37,400.00","65,500","43,300.00","31,900.00","36,450.00","79,000.00","75,700","75,700","50,000","35,950.00","11,850.00","58,900","11,850.00","22,850.00","42,200.00","19,400.00","95,500","43,650","22,100","45,300","104,400","73,000.00","19,750.00","26,700.00"
4/3/2024,"53,500.00","27,800.00","24,200.00","30,800.00","23,300.00","111,400.00","37,150.00","65,400","43,200.00","31,750.00","36,000.00","77,800.00","70,800","70,800","47,400","35,950.00","11,850.00","58,300","11,850.00","22,850.00","41,850.00","19,600.00","96,000","43,950","22,000","45,250","103,600","72,000.00","19,600.00","27,000.00"
1/3/2024,"53,500.00","27,800.00","24,000.00","30,850.00","23,300.00","110,800.00","37,350.00","63,600","42,800.00","31,950.00","35,600.00","77,600.00","70,500","70,500","46,600","35,900.00","11,750.00","58,600","11,900.00","22,950.00","41,850.00","19,850.00","97,300","43,950","21,900","45,250","103,300","71,500.00","19,650.00","26,650.00"
29/02/2024,"53,000.00","28,000.00","24,150.00","31,000.00","23,300.00","109,000.00","37,000.00","63,300","42,900.00","31,550.00","35,550.00","77,400.00","70,400","70,400","46,200","35,850.00","11,650.00","58,500","11,800.00","22,900.00","42,200.00","19,850.00","97,300","43,400","21,900","45,000","103,100","72,000.00","19,900.00","26,500.00"
28/02/2024,"53,900.00","28,000.00","24,400.00","30,600.00","23,200.00","108,500.00","36,100.00","63,400","42,450.00","31,400.00","35,950.00","78,000.00","68,300","68,300","45,300","36,200.00","11,800.00","57,700","11,900.00","22,950.00","42,200.00","20,000.00","97,400","44,400","22,100","45,600","103,400","72,200.00","19,900.00","27,800.00"
27/02/2024,"53,000.00","27,600.00","24,250.00","30,350.00","22,700.00","107,900.00","35,900.00","63,300","42,450.00","30,750.00","36,150.00","77,600.00","67,600","67,600","44,750","35,650.00","11,750.00","56,300","11,900.00","22,900.00","41,950.00","19,150.00","91,100","44,200","21,950","45,150","103,500","72,000.00","19,350.00","26,400.00"
26/02/2024,"53,600.00","27,500.00","24,000.00","28,800.00","22,700.00","108,000.00","35,100.00","63,300","42,050.00","30,500.00","35,650.00","76,200.00","66,700","66,700","44,350","35,200.00","11,550.00","56,600","11,750.00","22,900.00","41,200.00","19,150.00","89,500","43,350","21,950","44,600","104,500","71,000.00","19,250.00","26,000.00"
23/02/2024,"52,100.00","27,500.00","23,950.00","28,500.00","22,650.00","103,900.00","34,150.00","63,300","42,000.00","30,750.00","35,350.00","76,600.00","66,800","66,800","44,050","35,200.00","11,550.00","57,100","11,850.00","23,000.00","40,350.00","19,200.00","89,600","43,450","22,000","45,450","103,600","71,300.00","19,550.00","25,500.00"
22/02/2024,"49,750.00","27,650.00","23,950.00","28,550.00","22,900.00","104,600.00","34,650.00","65,100","42,150.00","31,050.00","35,700.00","77,900.00","68,100","68,100","45,300","35,850.00","11,750.00","58,000","12,100.00","23,000.00","40,300.00","19,550.00","89,500","44,800","22,500","47,600","103,600","71,600.00","19,700.00","26,400.00"
21/02/2024,"49,750.00","27,700.00","24,000.00","28,800.00","23,500.00","105,900.00","34,950.00","65,800","42,450.00","31,500.00","35,550.00","77,700.00","68,000","68,000","46,100","35,750.00","11,800.00","58,100","11,900.00","22,950.00","39,000.00","19,500.00","91,200","45,000","22,300","47,250","103,200","71,300.00","19,750.00","26,000.00"
20/02/2024,"49,400.00","27,550.00","23,850.00","29,200.00","23,600.00","104,300.00","35,300.00","63,800","42,750.00","30,700.00","35,200.00","78,600.00","68,800","68,800","46,800","36,100.00","11,900.00","58,600","11,850.00","23,000.00","38,900.00","18,750.00","91,300","46,150","22,200","48,500","104,300","71,500.00","19,600.00","25,500.00"
19/02/2024,"49,300.00","27,700.00","23,950.00","29,200.00","23,350.00","105,000.00","35,200.00","64,300","43,200.00","30,700.00","35,400.00","79,300.00","68,900","68,900","46,800","36,250.00","12,000.00","57,900","12,000.00","23,050.00","38,900.00","18,800.00","90,200","45,550","22,000","47,000","105,200","71,900.00","19,800.00","24,050.00"
16/02/2024,"48,550.00","27,600.00","24,000.00","28,600.00","23,300.00","105,100.00","35,000.00","63,600","42,500.00","30,800.00","35,250.00","76,600.00","66,200","66,200","46,300","35,300.00","11,500.00","58,000","11,900.00","23,250.00","38,500.00","18,900.00","89,600","42,700","22,100","43,950","105,300","70,000.00","19,850.00","22,500.00"
15/02/2024,"48,950.00","27,200.00","24,150.00","28,700.00","23,650.00","104,000.00","35,100.00","63,700","41,300.00","31,250.00","35,000.00","75,700.00","64,900","64,900","45,850","35,300.00","11,400.00","58,400","11,900.00","23,250.00","38,400.00","18,850.00","89,900","41,950","22,100","42,550","104,500","67,600.00","19,800.00","22,000.00"
7/2/2024,"48,950.00","28,000.00","23,500.00","28,150.00","23,550.00","104,900.00","35,100.00","64,000","41,200.00","31,100.00","35,500.00","75,700.00","64,900","64,900","46,600","34,750.00","11,350.00","57,800","11,650.00","23,200.00","37,300.00","18,500.00","90,000","41,800","21,700","42,400","105,300","67,600.00","19,600.00","21,900.00"
6/2/2024,"48,800.00","27,850.00","23,050.00","28,050.00","23,000.00","104,100.00","35,000.00","63,800","41,100.00","30,800.00","34,400.00","75,700.00","64,800","64,800","47,000","34,700.00","11,350.00","57,300","11,550.00","23,000.00","35,650.00","18,100.00","89,500","41,000","21,400","42,300","104,500","67,600.00","19,300.00","21,700.00"
5/2/2024,"48,650.00","27,800.00","22,950.00","28,000.00","22,650.00","103,500.00","34,950.00","63,500","41,050.00","30,600.00","33,900.00","75,200.00","64,900","64,900","47,400","34,550.00","11,250.00","57,000","11,750.00","23,000.00","35,500.00","18,150.00","90,000","41,250","21,200","42,200","105,300","68,000.00","19,200.00","21,800.00"
2/2/2024,"46,900.00","26,250.00","21,750.00","27,900.00","22,350.00","102,000.00","34,800.00","64,500","41,000.00","29,900.00","31,700.00","75,200.00","65,400","65,400","47,400","34,600.00","11,300.00","57,000","11,450.00","22,750.00","34,150.00","17,500.00","90,300","41,200","20,250","42,100","104,800","67,400.00","18,800.00","22,300.00"
1/2/2024,"47,250.00","26,000.00","21,900.00","27,850.00","21,800.00","99,900.00","34,650.00","66,000","41,250.00","29,800.00","32,050.00","75,500.00","65,100","65,100","46,200","34,600.00","11,350.00","57,500","11,600.00","22,750.00","34,150.00","17,850.00","89,800","41,200","20,650","42,350","105,500","67,500.00","19,150.00","22,650.00"
31/01/2024,"47,700.00","25,750.00","21,750.00","27,750.00","21,800.00","95,700.00","34,400.00","65,300","40,500.00","29,900.00","31,600.00","75,400.00","64,400","64,400","45,000","34,600.00","11,350.00","56,300","11,600.00","22,900.00","34,550.00","17,850.00","88,500","41,500","20,750","42,500","104,600","67,000.00","19,400.00","22,450.00"
30/01/2024,"48,450.00","25,950.00","22,100.00","28,000.00","21,850.00","95,600.00","34,150.00","65,300","41,000.00","30,700.00","32,200.00","76,400.00","66,100","66,100","45,400","34,750.00","11,500.00","57,200","12,300.00","23,000.00","35,200.00","18,300.00","91,000","42,000","20,900","42,700","105,600","66,900.00","19,700.00","23,400.00"
